path	line	function	kind	detail
devtools/devtools_wasm.go	232	ErrorOverlay	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	371	header	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	371	header	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	394	collectOverlayIssues	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	394	collectOverlayIssues	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	422	shouldShowOverlayDiagnostic	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	436	overlayHasHydrationIssue	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	436	overlayHasHydrationIssue	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	445	overlayIssueFingerprint	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	445	overlayIssueFingerprint	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	453	matchingErrorOverlayActions	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	453	matchingErrorOverlayActions	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	467	matchesErrorOverlayAction	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	467	matchesErrorOverlayAction	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	498	section	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	498	section	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	511	routeSummary	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	511	routeSummary	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	555	statsSummary	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	555	statsSummary	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	568	cacheSummary	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	599	multiClientSummary	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	599	multiClientSummary	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	642	boundariesSummary	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	642	boundariesSummary	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	710	coordinationSummary	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	710	coordinationSummary	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	771	renderExtensionSections	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	783	extensionSectionSummary	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	783	extensionSectionSummary	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	811	profilingSummary	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	811	profilingSummary	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	853	hydrationSummary	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	853	hydrationSummary	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	888	profilingEventsSummary	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	888	profilingEventsSummary	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	916	startupProfilingSummary	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	916	startupProfilingSummary	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	975	componentRenderSummary	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	975	componentRenderSummary	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	1008	flamegraphSummary	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	1008	flamegraphSummary	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	1079	hotBranchesSummary	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	1079	hotBranchesSummary	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	1107	diagnosticsSummary	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	1107	diagnosticsSummary	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	1177	logsSummary	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	1177	logsSummary	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	1264	selectedNodeSummary	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	1264	selectedNodeSummary	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	1317	treeSummary	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	1317	treeSummary	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	1324	renderNode	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	1434	findNodeByPath	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	1434	findNodeByPath	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	1449	cacheEntriesForNode	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	1465	metricRow	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	1465	metricRow	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	1477	mapNode	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	1477	mapNode	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	1519	mapStats	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	1519	mapStats	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	1532	mapProfiling	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	1532	mapProfiling	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	1650	mapHydration	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	1650	mapHydration	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	1667	cloneStringMap	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	1667	cloneStringMap	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	1678	cloneIntMap	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	1678	cloneIntMap	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	1689	cloneParams	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	1689	cloneParams	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	1700	mapRouteStack	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	1700	mapRouteStack	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	1723	mapRouteLoaders	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	1723	mapRouteLoaders	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	1740	formatQuery	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	1756	formatParams	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	1772	formatStringMap	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	1788	emptyFallback	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	1788	emptyFallback	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm.go	1795	formatDurationNs	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	1802	formatByteCount	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm.go	1815	formatTime	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm_test.go	14	TestSnapshotNowIncludesBufferedLogs	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm_test.go	14	TestSnapshotNowIncludesBufferedLogs	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm_test.go	39	TestSnapshotNowIncludesWrappedPanicMetadata	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm_test.go	39	TestSnapshotNowIncludesWrappedPanicMetadata	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm_test.go	121	TestSnapshotNowIncludesMultiClientInspection	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm_test.go	121	TestSnapshotNowIncludesMultiClientInspection	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm_test.go	183	TestExportSnapshotJSONAndCompareSnapshots	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm_test.go	183	TestExportSnapshotJSONAndCompareSnapshots	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm_test.go	250	TestMapHydrationIncludesDebugFields	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm_test.go	250	TestMapHydrationIncludesDebugFields	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm_test.go	283	TestSnapshotNowIncludesSerializationBoundaries	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm_test.go	283	TestSnapshotNowIncludesSerializationBoundaries	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm_test.go	319	TestSnapshotNowIncludesCoordinationInspection	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm_test.go	319	TestSnapshotNowIncludesCoordinationInspection	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm_test.go	399	TestCollectOverlayIssuesHighlightsActionableFailures	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm_test.go	399	TestCollectOverlayIssuesHighlightsActionableFailures	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm_test.go	430	TestMatchingErrorOverlayActionsFiltersByCodeAndSource	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm_test.go	430	TestMatchingErrorOverlayActionsFiltersByCodeAndSource	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm_test.go	450	TestMapInspectionFineGrainedMetadata	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm_test.go	450	TestMapInspectionFineGrainedMetadata	name_prefix	name does not start with approved verb/boolean prefix
devtools/devtools_wasm_test.go	614	TestRouteSummaryMappingIncludesStackLoadersAndRedirect	missing_godoc	function has no GoDoc comment
devtools/devtools_wasm_test.go	614	TestRouteSummaryMappingIncludesStackLoadersAndRedirect	name_prefix	name does not start with approved verb/boolean prefix
devtools/error_overlay_actions.go	23	InspectErrorOverlayActions	name_prefix	name does not start with approved verb/boolean prefix
