path	line	function	receiver	exported	has_godoc	godoc_first_word	name_prefix_ok
devtools/devtools_wasm_test.go	183	TestExportSnapshotJSONAndCompareSnapshots		true	false		false
devtools/devtools_wasm_test.go	250	TestMapHydrationIncludesDebugFields		true	false		false
devtools/devtools_wasm_test.go	283	TestSnapshotNowIncludesSerializationBoundaries		true	false		false
devtools/devtools_wasm_test.go	319	TestSnapshotNowIncludesCoordinationInspection		true	false		false
devtools/devtools_wasm_test.go	399	TestCollectOverlayIssuesHighlightsActionableFailures		true	false		false
devtools/devtools_wasm_test.go	430	TestMatchingErrorOverlayActionsFiltersByCodeAndSource		true	false		false
devtools/devtools_wasm_test.go	450	TestMapInspectionFineGrainedMetadata		true	false		false
devtools/devtools_wasm_test.go	614	TestRouteSummaryMappingIncludesStackLoadersAndRedirect		true	false		false
devtools/error_overlay_actions.go	11	SetErrorOverlayActions		true	true	SetErrorOverlayActions	true
devtools/error_overlay_actions.go	18	ResetErrorOverlayActions		true	true	ResetErrorOverlayActions	true
devtools/error_overlay_actions.go	23	InspectErrorOverlayActions		true	true	InspectErrorOverlayActions	false
devtools/error_overlay_actions.go	29	cloneErrorOverlayActions		false	false		false
devtools/extension_sections.go	11	SetExtensionSections		true	true	SetExtensionSections	true
devtools/extension_sections.go	18	ResetExtensionSections		true	true	ResetExtensionSections	true
devtools/extension_sections.go	23	InspectExtensionSections		true	true	InspectExtensionSections	false
devtools/extension_sections.go	29	cloneExtensionSections		false	false		false
devtools/micro_benchmark_test.go	5	BenchmarkSnapshotNowMicro		true	false		false
devtools/micro_benchmark_test.go	12	BenchmarkCompareSnapshotsMicro		true	false		false
devtools/multi_client_state.go	11	SetMultiClientInspection		true	true	SetMultiClientInspection	true
devtools/multi_client_state.go	18	ResetMultiClientInspection		true	true	ResetMultiClientInspection	true
devtools/multi_client_state.go	23	InspectMultiClient		true	true	InspectMultiClient	false
devtools/multi_client_state.go	29	cloneMultiClient		false	false		false
devtools/multi_client_state.go	63	cloneMultiClientStringMap		false	false		false
devtools/serialization_boundaries.go	18	SetSerializationBoundaryInspection		true	true	SetSerializationBoundaryInspection	true
devtools/serialization_boundaries.go	25	ResetSerializationBoundaryInspection		true	true	ResetSerializationBoundaryInspection	true
devtools/serialization_boundaries.go	30	InspectSerializationBoundaries		true	true	InspectSerializationBoundaries	false
devtools/serialization_boundaries.go	37	InspectBootstrapBoundaries		true	true	InspectBootstrapBoundaries	false
devtools/serialization_boundaries.go	93	appendBoundaryNotes		false	false		false
devtools/serialization_boundaries.go	104	boundaryStatus		false	false		false
devtools/serialization_boundaries.go	114	approximateBoundarySize		false	false		false
devtools/serialization_boundaries.go	131	cloneBoundaryInspection		false	false		false
devtools/snapshot_export.go	12	ExportSnapshotJSON		true	true	ExportSnapshotJSON	false
devtools/snapshot_export.go	17	CompareSnapshots		true	true	CompareSnapshots	false
devtools/snapshot_export.go	74	fingerprint		false	false		false
